id;name;description;source;start_date;end_date;premium
1;paradigms Shirt;program Iran infrastructure;tan Credit Card Account Toys;2021-12-09T20:47:41;2021-12-09T21:31:40;true
2;Analyst Kina Wooden;circuit 1080p;Generic Soft Ball Clothing Frozen;2021-12-10T00:25:24;2021-12-10T16:31:04;true
3;Principal;compress JSON;Somali Shilling index Triple-buffered;2021-12-09T23:14:17;2021-12-10T11:51:36;false
4;Greenland;Identity transmit;New Taiwan Dollar hard drive;2021-12-10T13:25:27;2021-12-10T17:25:58;false
5;application solutions;Unbranded Soft Gloves;solutions back up Forward;2021-12-10T13:24:35;2021-12-10T16:57:27;false
6;deposit;silver;View;2021-12-10T11:10:23;2021-12-10T12:16:13;false
7;Ball Timor-Leste;systematic Keyboard synergistic;SMS;2021-12-09T18:30:48;2021-12-10T10:51:53;true
8;invoice Auto Loan Account;Concrete;turquoise input Orchestrator;2021-12-10T07:48:55;2021-12-10T12:31:04;false
9;customer loyalty;Prairie;grid-enabled withdrawal Latvian Lats;2021-12-10T03:43:52;2021-12-10T09:14:12;true
10;driver SCSI;overriding;Gambia;2021-12-10T17:54:58;2021-12-10T14:06:04;false
