id;title;description;start_date;end_date
1;best-of-breed Shirt;zero administration methodologies;2021-12-10T10:41:48;2021-12-10T14:14:18
2;Wooden Track Home;copy;2021-12-10T00:54:13;2021-12-10T06:06:22
3;vortals;turn-key withdrawal;2021-12-10T04:00:32;2021-12-09T21:01:38
4;Toys Buckinghamshire override;Assurance backing up;2021-12-09T20:48:51;2021-12-10T04:14:33
5;AGP Minnesota;Fresh leverage;2021-12-10T13:53:04;2021-12-10T03:22:50
6;Cambridgeshire;Bedfordshire Applications;2021-12-10T03:00:24;2021-12-09T23:51:14
7;clear-thinking Movies Corners;global Soft;2021-12-10T09:38:40;2021-12-10T08:10:42
8;Soap Ohio;tan Honduras;2021-12-09T22:34:24;2021-12-10T08:02:39
9;Licensed;Valleys Rustic;2021-12-10T16:51:23;2021-12-10T15:06:37
10;connecting payment;SQL;2021-12-10T11:13:32;2021-12-10T17:20:32
