id;name;description;source;start_date;end_date;premium
1;deposit frictionless;Customer-focused;Metal;2021-12-09T21:09:25;2021-12-10T01:14:42;false
2;4th generation;Namibia;HTTP interfaces;2021-12-09T18:44:55;2021-12-10T17:39:08;true
3;Car Avon;Programmable generating;Streamlined;2021-12-10T05:28:25;2021-12-10T10:18:35;true
4;bluetooth program;e-tailers Re-engineered;Jewelery solid state;2021-12-09T23:04:13;2021-12-09T18:17:17;false
5;Equatorial Guinea Incredible Metal Bacon infrastructures;static Syrian Pound;Belize Dollar;2021-12-10T05:22:55;2021-12-10T04:45:36;false
6;invoice Rubber withdrawal;system engine Home connecting;secured line;2021-12-10T14:31:31;2021-12-10T08:03:17;false
7;Berkshire;system engine;auxiliary Configuration;2021-12-10T04:27:25;2021-12-09T22:19:47;false
8;mindshare;Licensed Frozen Bacon bypassing;Senior Paraguay Refined;2021-12-10T17:06:01;2021-12-10T14:44:56;true
9;Maine magenta modular;Analyst revolutionize;Generic Missouri transition;2021-12-10T12:08:17;2021-12-09T20:00:15;true
10;synthesize deposit;5th generation Borders Markets;Cloned;2021-12-10T17:18:18;2021-12-10T03:55:19;true
